# ahrs_csv source=esp32-c3 algo=vqf-c accel_unit=g gyro_unit=rad/s frame=hand bias_subtracted=1 nominal_fs=100
t_us,gx,gy,gz,ax,ay,az,qw,qx,qy,qz
3500389,0.0003577396,0.0003391234,0.0005983226,0.03479,0.028381,1.0222,0.9997591,0.0138731,-0.01700563,3.044834e-06
3527916,0.001689315,0.001138072,6.568991e-05,0.035522,0.02832,1.0223,0.9997563,0.01386173,-0.0171808,6.443772e-06
3540680,0.0003577396,0.001004914,0.0001988485,0.035583,0.026672,1.0248,0.9997593,0.01357684,-0.01723384,1.326859e-05
3553700,0.001556158,-0.0004598247,-0.0002006255,0.037109,0.028748,1.025,0.999754,0.01369184,-0.01745024,1.343016e-05
3566720,0.001289845,-6.035063e-05,-6.746687e-05,0.03656,0.028687,1.0234,0.9997517,0.01375965,-0.01753107,1.323424e-05
3579831,0.0006240532,0.0006054398,0.0001988485,0.035645,0.029358,1.0245,0.9997508,0.01385557,-0.01750526,1.238369e-05
3592933,-0.002172265,0.0003391234,-6.746687e-05,0.034119,0.027527,1.0219,0.9997537,0.01379035,-0.01738786,1.12298e-05
3606040,-0.001107,-0.0003266665,0.000465164,0.035095,0.028564,1.0234,0.9997541,0.01380521,-0.0173586,1.265467e-05
3618817,-0.0003080517,7.280754e-05,-0.0004669409,0.034729,0.028198,1.0266,0.9997551,0.01379528,-0.01730848,9.75891e-06
3631995,0.0008903667,0.001138072,-0.0004669409,0.035217,0.028687,1.0214,0.9997549,0.01382339,-0.01729612,7.080154e-06
3645214,0.0004908964,0.0002059657,0.0001988485,0.035156,0.029602,1.024,0.9997543,0.01388248,-0.01728318,6.986064e-06
3658114,-0.00124016,0.0006054398,0.0009977967,0.035217,0.027893,1.0251,0.9997549,0.01385335,-0.01727148,1.218234e-05
3671138,-0.001107,-0.0009924565,-0.0003337841,0.036011,0.030273,1.0231,0.9997534,0.01392029,-0.01730102,9.438267e-06
3684156,0.00075721,0.0006054398,0.000864638,0.037415,0.029236,1.0255,0.999752,0.01394764,-0.01736559,1.439948e-05
3696916,0.00075721,-0.0004598247,0.001264114,0.036682,0.027222,1.0238,0.9997519,0.0139077,-0.01740463,2.202155e-05
3709968,-0.0008406863,-6.035063e-05,0.0005983226,0.035461,0.027588,1.0228,0.9997523,0.0138775,-0.01740103,2.533189e-05
3722958,0.0006240532,-6.035063e-05,0.0003320072,0.035583,0.031433,1.0201,0.999751,0.01397,-0.01740409,2.552355e-05
3735820,9.141862e-05,0.0003391234,-0.0004669409,0.035828,0.028381,1.0231,0.9997509,0.0139652,-0.01740875,2.340258e-05
3748908,-0.000973843,-6.035063e-05,6.568991e-05,0.03717,0.029175,1.025,0.9997501,0.01397486,-0.0174476,2.392687e-05
3761839,-4.173815e-05,-0.0004598247,0.0005983226,0.037842,0.028381,1.0249,0.9997492,0.0139685,-0.01750113,2.770398e-05
3775036,9.141862e-05,-6.035063e-05,6.568991e-05,0.036682,0.028015,1.0248,0.9997491,0.01395499,-0.01752103,2.855453e-05
3788224,0.0002245754,0.0008717561,-0.0006000996,0.034851,0.029419,1.0234,0.9997492,0.01397546,-0.01749532,2.499966e-05
3801422,0.001023531,0.0002059657,-0.0007332582,0.034302,0.029175,1.0236,0.9997497,0.0139928,-0.017463,2.078881e-05
3814261,-0.0003080517,-0.0003266665,0.0009977967,0.036255,0.029358,1.0256,0.9997492,0.014005,-0.01747424,2.561854e-05
3827374,-0.0003080517,-0.001791405,0.0007314812,0.034851,0.029053,1.0236,0.9997494,0.01401145,-0.01746577,2.873711e-05
3840575,0.0002245754,-0.0009924565,0.0001988485,0.033997,0.029297,1.0247,0.9997497,0.014024,-0.01743769,2.901772e-05
3853578,-0.0005743727,-0.0004598247,0.0007314812,0.036926,0.028748,1.0225,0.9997492,0.01402301,-0.0174636,3.288841e-05
3866821,-0.0003080517,-0.001391931,0.001130955,0.03717,0.029724,1.0252,0.9997484,0.01403893,-0.01749494,3.845107e-05
3879820,-0.0004412085,0.0003391234,0.001530429,0.036377,0.027466,1.0239,0.9997486,0.01401577,-0.0175036,4.659465e-05
3892822,0.0003577396,0.0006054398,0.000864638,0.035095,0.02948,1.025,0.9997486,0.01403022,-0.01748889,5.06028e-05
3905574,0.0003577396,0.0004722816,-6.746687e-05,0.037292,0.030334,1.0244,0.9997479,0.01405759,-0.01751047,5.021853e-05
3918811,-0.001772791,0.0008717561,0.000465164,0.035156,0.028748,1.0226,0.9997482,0.01404963,-0.01749724,5.230818e-05
3931819,-0.0007075295,-0.0005929829,-0.001132732,0.036133,0.02832,1.0211,0.9997482,0.01404152,-0.01750692,4.671948e-05
3944985,0.001689315,-0.000726141,0.0005983226,0.035034,0.029724,1.025,0.999748,0.01406385,-0.0174992,4.940289e-05
3957817,0.0004908964,7.280754e-05,-0.0007332582,0.034729,0.032288,1.0232,0.9997475,0.01411593,-0.01748469,4.471961e-05
3970939,0.001822479,-0.0003266665,0.001397271,0.035217,0.028381,1.0233,0.9997476,0.01411868,-0.01747968,5.185404e-05
3983942,-0.001373317,-6.035063e-05,-0.0003337841,0.034485,0.028381,1.0251,0.999748,0.01410545,-0.01746307,4.993448e-05
3997148,-0.00124016,-0.0004598247,0.0001988485,0.036011,0.026978,1.0231,0.9997483,0.01407608,-0.01746984,5.125478e-05
4010256,0.001023531,0.0004722816,0.0005983226,0.036255,0.030884,1.0219,0.9997478,0.01410829,-0.0174754,5.400473e-05
4023183,-0.000973843,-0.0005929829,-6.746687e-05,0.035217,0.030701,1.0254,0.9997476,0.01412598,-0.01747167,5.305165e-05
4036469,-0.0005743727,-0.000726141,-0.0004669409,0.036255,0.027832,1.0274,0.9997477,0.01410994,-0.01748035,5.091832e-05
