# ahrs_csv source=synthetic algo=synthetic accel_unit=g gyro_unit=rad/s frame=hand bias_subtracted=1
# kind=bias_still
t_us,gx,gy,gz,ax,ay,az,qw,qx,qy,qz
0,0.0002514604,-0.0002642097,0.01128085,-0.013519,0.0058385,1.0049,nan,nan,nan,nan
10000,0.0002098002,-0.001071339,0.01072319,-0.0066257,-0.01396,0.98663,nan,nan,nan,nan
20000,0.002608,0.001894162,0.00859253,-0.000818,-0.00035657,0.98886,nan,nan,nan,nan
30000,-0.002530843,-0.001246549,0.01008265,0.0087942,-0.026322,0.99547,nan,nan,nan,nan
40000,-0.004650062,-0.0004375833,0.007508178,0.016041,0.0078638,1.0168,nan,nan,nan,nan
50000,-0.001464535,-0.001088518,0.0093674,0.0035969,-0.0048957,0.9897,nan,nan,nan,nan
60000,0.0008232611,0.002085027,0.009742931,-0.011862,0.002008,1.0243,nan,nan,nan,nan
70000,0.002732927,-0.001330389,0.01070302,-0.0073001,0.010128,1.0004,nan,nan,nan,nan
80000,0.00180694,0.0001880246,0.008513002,0.004286,0.010014,0.99081,nan,nan,nan,nan
90000,-0.001843451,-0.0009154517,0.01044039,-0.004939,-0.00094496,0.98862,nan,nan,nan,nan
100000,-0.002019236,-0.0004183511,0.00968155,-0.011002,0.0075256,1.0089,nan,nan,nan,nan
110000,0.001081691,0.0004293182,0.01071075,-0.0030752,-0.0081532,0.98514,nan,nan,nan,nan
120000,-0.001307657,-0.0002592273,0.01156795,-0.00014596,0.0094965,0.99718,nan,nan,nan,nan
130000,0.002986862,-0.002518131,0.01302785,0.0041063,0.0072831,1.0063,nan,nan,nan,nan
140000,0.002691751,0.001562623,0.01052891,-0.0092512,-0.00036233,0.98641,nan,nan,nan,nan
150000,-0.0006278456,0.002916041,0.01392052,-0.001414,-0.010862,1.001,nan,nan,nan,nan
160000,0.00360327,0.002630208,0.01071476,0.0063476,-0.0050852,0.98816,nan,nan,nan,nan
170000,-0.002416637,-8.908266e-06,0.01131295,0.0069017,0.00074934,1.0091,nan,nan,nan,nan
180000,-0.002576723,0.0007902441,0.01085973,0.011357,-0.00027237,0.99139,nan,nan,nan,nan
190000,0.001392085,-0.002368236,0.008676595,0.0052666,-0.0077428,1.0055,nan,nan,nan,nan
200000,-0.0008728705,-0.002339604,0.01347874,0.001122,-0.00023697,1.0137,nan,nan,nan,nan
210000,-0.0009918215,0.0006579393,0.009482855,0.021419,0.0063391,1.0061,nan,nan,nan,nan
220000,0.003166946,0.002640722,0.01126671,-0.00047884,-0.0092439,0.99903,nan,nan,nan,nan
230000,-0.00440702,0.0001040579,0.01136737,0.016465,-0.010125,0.99962,nan,nan,nan,nan
240000,0.002007923,-0.001235814,0.01364402,-0.0052028,-0.0098736,0.99133,nan,nan,nan,nan
250000,-0.002640862,-0.001323056,0.0118701,0.01159,0.00046579,0.99915,nan,nan,nan,nan
260000,9.810923e-05,0.004004785,0.01037704,-0.014511,0.0080309,1.01,nan,nan,nan,nan
270000,-0.001266388,-0.000755127,0.007817708,0.0075235,0.012779,1.0071,nan,nan,nan,nan
280000,-0.00255536,0.001260823,0.01116233,-0.0064978,0.0034267,0.98957,nan,nan,nan,nan
290000,0.002589118,-0.001509212,0.01337821,-0.0031591,-0.0045762,1.014,nan,nan,nan,nan
300000,-0.0005747754,0.003148817,0.009134428,-0.002593,-0.011995,0.99072,nan,nan,nan,nan
310000,-0.001470967,0.0004995707,0.01206291,-0.006066,0.0054606,0.98835,nan,nan,nan,nan
320000,0.0003220192,-0.001171058,0.007317561,-0.027605,0.0020041,1.0004,nan,nan,nan,nan
330000,-0.00280304,0.001005366,0.01197943,0.0196,-0.0026889,1.0091,nan,nan,nan,nan
340000,-0.0003285892,-0.00214873,0.01174608,-0.0038441,0.016154,1.0035,nan,nan,nan,nan
350000,-0.002560788,-0.001426136,0.01124204,-0.01382,-0.0078258,0.9781,nan,nan,nan,nan
360000,-0.004500282,0.0007727392,0.008836718,0.012112,0.0061649,1.0052,nan,nan,nan,nan
370000,0.0002185594,-0.0001514031,0.01040423,0.016661,-0.011038,0.99172,nan,nan,nan,nan
380000,0.001388344,-0.00151674,0.01284196,-0.00066381,0.0037235,1.0003,nan,nan,nan,nan
390000,0.001452188,0.001687465,0.01232973,-0.0020879,0.0053641,1.0069,nan,nan,nan,nan
400000,0.001575176,0.001688157,0.01015119,-0.012279,-0.011692,1.0151,nan,nan,nan,nan
410000,-0.002853548,-0.0002700902,0.008460971,0.0039591,0.024128,0.99824,nan,nan,nan,nan
420000,-0.002845484,0.0005169056,0.008862901,-0.010085,0.012494,0.99873,nan,nan,nan,nan
430000,-0.002059609,-0.002086002,0.01053683,0.01919,-0.015976,1.0001,nan,nan,nan,nan
440000,0.0007173439,0.002644915,0.009972171,-0.001616,0.0022553,1.0076,nan,nan,nan,nan
450000,0.00208368,0.00280453,0.01230033,0.0053343,0.0061463,0.98505,nan,nan,nan,nan
460000,-0.004730608,0.002457367,0.01067924,-0.0087502,0.010542,0.99227,nan,nan,nan,nan
470000,0.0008475427,0.0007424548,0.01076551,-0.0058955,-0.0045414,0.97902,nan,nan,nan,nan
480000,0.0006388284,-0.0007178266,0.006196729,0.0038467,-0.0076132,1.0134,nan,nan,nan,nan
490000,-0.0002178295,-0.001607464,0.01216033,-0.010784,-0.0072156,1.0003,nan,nan,nan,nan
500000,-0.000577533,0.0001669507,0.008300788,0.0084726,-0.0061622,0.99596,nan,nan,nan,nan
510000,-0.001021245,-2.306612e-05,0.00702925,-0.0080452,-0.0021573,1.0108,nan,nan,nan,nan
520000,0.0006013702,-0.0002121445,0.00762856,0.0030803,-0.0046408,0.99415,nan,nan,nan,nan
530000,-0.004796466,0.001026104,0.009404832,-0.0091703,0.0030207,0.99936,nan,nan,nan,nan
540000,-0.001060017,-0.0004723093,0.01363295,0.0090658,-0.0092075,1.0087,nan,nan,nan,nan
550000,-9.960194e-05,0.0001732385,0.007025854,-0.014471,-0.0023782,0.99551,nan,nan,nan,nan
560000,0.003294678,0.001834976,0.01213387,-0.00070994,0.0022049,1.0104,nan,nan,nan,nan
570000,9.534546e-05,0.00183331,0.01074189,-0.0011476,0.0076324,1.0102,nan,nan,nan,nan
580000,0.001226378,-0.0003043859,0.007052224,-0.019059,0.0088775,0.9978,nan,nan,nan,nan
590000,0.002057709,-0.003869919,0.009520127,-0.0079398,0.012321,1,nan,nan,nan,nan
600000,-0.000409045,-0.00208572,0.01122625,0.0012455,1.2521e-06,1.0052,nan,nan,nan,nan
610000,-0.0004006594,-0.0008737367,0.01103968,-0.01095,-0.0021647,0.99422,nan,nan,nan,nan
620000,-0.0009531581,0.00277796,0.01070291,-0.0028535,-0.00070764,0.98668,nan,nan,nan,nan
630000,-0.000948666,-0.00388853,0.007384494,-0.027203,-0.010458,1.0024,nan,nan,nan,nan
640000,0.002173662,-0.0001012081,0.00943375,0.00060456,-0.0085429,0.99398,nan,nan,nan,nan
650000,0.003286503,-0.002565298,0.008828684,-0.009545,-0.016664,0.99348,nan,nan,nan,nan
660000,-0.0009451754,0.001172675,0.00867293,-0.011795,-0.010447,0.99616,nan,nan,nan,nan
670000,-0.001226836,-0.003210299,0.0114587,-0.0080049,0.00049024,0.99009,nan,nan,nan,nan
680000,0.001612279,-0.0009527535,0.01032668,-0.0040612,0.015966,0.99502,nan,nan,nan,nan
690000,-0.002585292,-0.0009436263,0.0127559,-0.005598,0.0088076,0.97957,nan,nan,nan,nan
700000,0.0002714615,0.004620727,0.008425615,0.0030894,0.001009,1.0097,nan,nan,nan,nan
710000,0.001160569,-0.0003910117,0.01113164,0.0088675,-0.0077112,0.99899,nan,nan,nan,nan
720000,-1.442272e-05,-0.001122396,0.008264766,0.004414,0.01064,0.99277,nan,nan,nan,nan
730000,0.006132073,-0.0001546901,0.005966679,-0.0024248,0.0052851,0.99296,nan,nan,nan,nan
740000,-0.001297201,0.001356079,0.008999983,0.012171,-0.0019253,1.0052,nan,nan,nan,nan
750000,0.002720892,0.002004797,0.009695323,-0.0095359,0.0091909,0.99919,nan,nan,nan,nan
760000,-0.0009444319,-0.002009602,0.008600067,-0.0043117,-0.011218,1.0011,nan,nan,nan,nan
770000,-0.002946286,0.002408793,0.0131814,-0.029911,0.0019415,0.98352,nan,nan,nan,nan
780000,-0.002512276,-0.002363366,0.006462976,-0.00024383,0.0076627,0.98877,nan,nan,nan,nan
790000,-0.001927708,-0.006212674,0.007715442,-0.0051872,-0.016412,1.0052,nan,nan,nan,nan
800000,0.002593831,-0.0006913451,0.01170917,0.011326,-0.0028084,1.0009,nan,nan,nan,nan
810000,-0.0009779381,0.003521335,0.01039844,-0.0048004,-0.0022842,1.0202,nan,nan,nan,nan
820000,-0.0007640046,0.005104848,0.009351056,-0.0061317,-0.016193,0.99427,nan,nan,nan,nan
830000,-0.002442447,0.00040382,0.00992233,0.022944,0.00055806,1.0058,nan,nan,nan,nan
840000,0.002132649,-0.001843268,0.01160943,0.0041804,-0.0025295,0.9858,nan,nan,nan,nan
850000,0.001705497,-0.001335375,0.01032649,-0.0078874,-0.0077413,0.98379,nan,nan,nan,nan
860000,-0.001661504,0.004691616,0.008591721,-0.015759,-0.0077411,0.99414,nan,nan,nan,nan
870000,-0.0009061489,-0.002131676,0.009307757,-0.013433,0.012503,0.99142,nan,nan,nan,nan
880000,-1.175205e-05,0.001535578,0.008779027,0.0112,-0.010407,0.99142,nan,nan,nan,nan
890000,-0.0003715479,-0.002832979,0.008345196,0.0001167,0.011782,1.0019,nan,nan,nan,nan
900000,0.005511615,0.002082486,0.008437152,0.0051563,-0.0019063,0.999,nan,nan,nan,nan
910000,-0.002674794,-0.001951166,0.009956618,0.0032763,0.0055886,0.99873,nan,nan,nan,nan
920000,6.945558e-05,-0.001488721,0.007426851,-0.0067093,-0.0051925,1.0122,nan,nan,nan,nan
930000,0.002844757,0.0009033709,0.009250864,-0.0058969,0.010136,1.0022,nan,nan,nan,nan
940000,-0.0004413224,-0.001059061,0.004127909,0.0077835,-0.0063036,0.98593,nan,nan,nan,nan
950000,0.0002313237,-0.002141089,0.007994631,-0.0028292,0.0090471,1.0085,nan,nan,nan,nan
960000,-0.001280525,0.001464603,0.007658938,-0.0035965,0.011476,1.0066,nan,nan,nan,nan
970000,-0.002868563,0.001279704,0.01150874,-0.0028535,-0.0098043,0.99378,nan,nan,nan,nan
980000,-0.001917867,0.001124795,0.009416735,0.0006564,0.0070132,1.0075,nan,nan,nan,nan
990000,0.0006025844,-0.002521921,0.01166579,0.013354,-0.0066998,1.0064,nan,nan,nan,nan
1000000,0.002406518,0.001274146,0.01111668,0.0036747,0.011138,0.99414,nan,nan,nan,nan
1010000,-0.00754455,0.0005212595,0.009949109,0.0090503,0.0073677,0.99664,nan,nan,nan,nan
1020000,-0.000294091,-0.001261156,0.01011073,-0.010557,-0.0056822,1.0088,nan,nan,nan,nan
1030000,0.0008242348,-0.0005275763,0.009073352,-0.0098142,0.0013215,0.98485,nan,nan,nan,nan
1040000,0.002459508,-0.002210734,0.01206031,0.012465,0.0027893,0.99693,nan,nan,nan,nan
1050000,0.0003536249,-0.001608611,0.009420036,0.0045502,-0.012972,0.98658,nan,nan,nan,nan
1060000,-0.001839987,0.001350129,0.0106958,0.0030173,0.018633,0.98499,nan,nan,nan,nan
1070000,-0.001113592,-0.002204437,0.01060343,-0.001994,-0.00068708,1.0031,nan,nan,nan,nan
1080000,0.001914771,-0.0002276727,0.01083671,0.015688,0.0082506,1.0271,nan,nan,nan,nan
1090000,-0.0007520543,0.0001351384,0.009417434,0.0036813,0.013065,1.0265,nan,nan,nan,nan
